title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
Aladdin,"$346,476,295","$217,350,219",62.7%,"$129,126,076",37.3%,Yes
Batman Returns,"$266,831,698","$162,831,698",61%,"$104,000,000",39%,Yes
Home Alone 2: Lost in New York,"$173,595,300","$173,585,516",100%,$85,<0.1%,Yes
Lethal Weapon 3,"$144,731,527","$144,731,527",100%,-,-,No
A Few Good Men,"$141,354,048","$141,340,178",100%,"$13,870",<0.1%,Yes
Sister Act,"$139,607,519","$139,605,150",100%,$49,<0.1%,Yes
The Bodyguard,"$121,945,720","$121,945,720",100%,-,-,No
Wayne's World,"$121,697,862","$121,697,323",100%,-,-,Yes
Basic Instinct,"$117,727,224","$117,727,224",100%,-,-,No
A League of Their Own,"$107,535,154","$107,533,928",100%,-,-,Yes
Unforgiven,"$101,157,447","$101,157,447",100%,-,-,No
The Hand That Rocks the Cradle,"$88,036,718","$88,036,683",100%,$35,<0.1%,Yes
Under Siege,"$83,563,139","$83,563,139",100%,-,-,No
Patriot Games,"$83,351,587","$83,351,587",100%,-,-,No
Bram Stoker's Dracula,"$82,522,790","$82,522,790",100%,-,-,No
White Men Can't Jump,"$76,253,806","$76,253,806",100%,-,-,No
The Last of the Mohicans,"$75,506,530","$75,505,856",100%,-,-,Yes
Boomerang,"$70,052,444","$70,052,444",100%,-,-,No
Scent of a Woman,"$63,095,253","$63,095,253",100%,-,-,No
The Crying Game,"$62,548,947","$62,548,947",100%,-,-,No
Far and Away,"$58,883,840","$58,883,840",100%,-,-,No
"Honey, I Blew Up the Kid","$58,662,452","$58,662,452",100%,-,-,No
HouseSitter,"$58,500,635","$58,500,635",100%,-,-,No
Death Becomes Her,"$58,423,992","$58,422,650",100%,-,-,Yes
Unlawful Entry,"$57,138,719","$57,138,719",100%,-,-,No
Beethoven,"$57,114,049","$57,114,049",100%,-,-,No
Forever Young,"$55,956,187","$55,956,187",100%,-,-,No
Alien 3,"$55,473,545","$55,473,545",100%,-,-,No
My Cousin Vinny,"$52,929,168","$52,929,168",100%,-,-,No
Sneakers,"$51,432,691","$51,432,691",100%,-,-,No
The Mighty Ducks,"$50,752,553","$50,752,337",100%,-,-,Yes
