title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
Star Wars: Episode VI - Return of the Jedi,"$252,601,637","$252,583,617",100%,"$18,020",<0.1%,Yes
Terms of Endearment,"$108,423,489","$108,423,489",100%,-,-,No
Flashdance,"$92,921,203","$92,921,203",100%,-,-,No
Trading Places,"$90,404,800","$90,404,800",100%,-,-,No
Superman III,"$80,250,623","$59,950,623",74.7%,"$20,300,000",25.3%,Yes
WarGames,"$79,567,667","$79,567,667",100%,-,-,No
Octopussy,"$67,917,359","$67,893,619",100%,"$23,475",<0.1%,Yes
Sudden Impact,"$67,642,693","$67,642,693",100%,-,-,No
Staying Alive,"$64,892,670","$64,892,670",100%,-,-,No
Mr. Mom,"$64,783,827","$64,783,827",100%,-,-,No
Risky Business,"$63,541,777","$63,541,777",100%,-,-,No
Vacation,"$61,399,851","$61,399,552",100%,-,-,Yes
The Big Chill,"$56,342,711","$56,342,711",100%,-,-,No
Never Say Never Again,"$55,433,185","$55,432,841",100%,-,-,Yes
Jaws 3-D,"$45,517,055","$45,517,055",100%,-,-,No
Scarface,"$45,231,462","$45,227,398",100%,$501,<0.1%,Yes
Blue Thunder,"$42,313,354","$42,313,354",100%,-,-,No
Yentl,"$40,219,251","$40,218,899",100%,-,-,Yes
Silkwood,"$35,615,609","$35,615,609",100%,-,-,No
Psycho II,"$34,725,000","$34,725,000",100%,-,-,No
Porky's II: The Next Day,"$33,759,266","$33,759,266",100%,-,-,No
Uncommon Valor,"$30,503,151","$30,503,151",100%,-,-,No
Snow White and the Seven Dwarfs 1983 Re-release,"$30,100,000","$30,100,000",100%,-,-,No
Never Cry Wolf,"$29,600,000","$29,600,000",100%,-,-,No
Twilight Zone: The Movie,"$29,450,919","$29,450,919",100%,-,-,No
Easy Money,"$29,309,766","$29,309,766",100%,-,-,No
High Road to China,"$28,445,927","$28,445,927",100%,-,-,No
The Outsiders,"$25,697,647","$25,697,647",100%,-,-,No
Spring Break,"$24,071,666","$24,071,666",100%,-,-,No
Two of a Kind,"$23,646,952","$23,646,952",100%,-,-,No
My Tutor,"$22,587,834","$22,587,834",100%,-,-,No
Class,"$21,667,789","$21,667,789",100%,-,-,No
The Right Stuff,"$21,192,102","$21,192,102",100%,-,-,No
Cujo,"$21,156,152","$21,156,152",100%,-,-,No
Christine,"$21,018,644","$21,017,849",100%,-,-,Yes
