rank,title,re_release,gross,num_theaters,total_gross,date,distributor
1,Jurassic World,,"$652,270,625","4,291","$652,270,625",Jun 12 2015,Universal Pictures
2,Star Wars: Episode VII - The Force Awakens,,"$651,967,269","4,134","$936,662,225",Dec 18 2015,Walt Disney Studios Motion Pictures
3,Avengers: Age of Ultron,,"$459,005,868","4,276","$459,005,868",May 1 2015,Walt Disney Studios Motion Pictures
4,Inside Out,,"$356,461,711","4,158","$356,461,711",Jun 19 2015,Walt Disney Studios Motion Pictures
5,Furious 7,,"$353,007,020","4,022","$353,007,020",Apr 3 2015,Universal Pictures
6,American Sniper,,"$348,797,073","3,885","$350,126,372",Dec 25 2015,Warner Bros.
7,Minions,,"$336,045,770","4,311","$336,045,770",Jul 10 2015,Universal Pictures
8,The Hunger Games: Mockingjay - Part 2,,"$269,569,121","4,175","$281,723,902",Nov 20 2015,Lionsgate Films
9,The Martian,,"$225,345,353","3,854","$228,433,663",Oct 2 2015,Twentieth Century Fox
10,Cinderella,,"$201,151,353","3,848","$201,151,353",Mar 13 2015,Walt Disney Studios Motion Pictures
11,Spectre,,"$197,102,585","3,929","$200,074,609",Nov 6 2015,Sony Pictures Releasing
12,Mission: Impossible - Rogue Nation,,"$195,042,377","3,988","$195,042,377",Jul 31 2015,Paramount Pictures
13,Pitch Perfect 2,,"$183,785,415","3,660","$184,296,230",May 15 2015,Universal Pictures
14,Ant-Man,,"$180,202,163","3,868","$180,202,163",Jul 17 2015,Walt Disney Studios Motion Pictures
15,Home,,"$177,397,510","3,801","$177,397,510",Mar 27 2015,Twentieth Century Fox
16,Hotel Transylvania 2,,"$168,471,018","3,768","$169,700,110",Sep 25 2015,Sony Pictures Releasing
17,Fifty Shades of Grey,,"$166,167,230","3,655","$166,167,230",Feb 13 2015,Universal Pictures
18,The SpongeBob Movie: Sponge Out of Water,,"$162,994,032","3,680","$162,994,032",Feb 6 2015,Paramount Pictures
19,Straight Outta Compton,,"$161,197,785","3,142","$161,197,785",Aug 14 2015,Universal Pictures
20,San Andreas,,"$155,190,832","3,812","$155,190,832",May 29 2015,Warner Bros.
21,Mad Max: Fury Road,,"$153,636,354","3,722","$153,636,354",May 15 2015,Warner Bros.
22,The Divergent Series: Insurgent,,"$130,179,072","3,875","$130,179,072",Mar 20 2015,Lionsgate Films
23,Kingsman: The Secret Service,,"$128,261,724","3,282","$128,261,724",Feb 13 2015,Twentieth Century Fox
24,The Peanuts Movie,,"$128,235,584","3,902","$130,178,411",Nov 6 2015,Twentieth Century Fox
25,Spy,,"$110,825,712","3,715","$110,825,712",Jun 5 2015,Twentieth Century Fox
26,The Good Dinosaur,,"$110,716,470","3,749","$123,087,120",Nov 25 2015,Walt Disney Studios Motion Pictures
27,Trainwreck,,"$110,212,700","3,171","$110,212,700",Jul 17 2015,Universal Pictures
28,Creed,,"$99,385,165","3,502","$109,767,581",Nov 25 2015,Warner Bros.
29,Tomorrowland,,"$93,436,322","3,972","$93,436,322",May 22 2015,Walt Disney Studios Motion Pictures
30,Get Hard,,"$90,411,453","3,212","$90,411,453",Mar 27 2015,Warner Bros.
