rank,title,re_release,gross,num_theaters,total_gross,date,distributor
1,The Dark Knight,,"$530,924,926","4,366","$533,345,358",Jul 18,Warner Bros.
2,Iron Man,,"$318,313,199","4,154","$318,604,126",May 2,Paramount Pictures
3,Indiana Jones and the Kingdom of the Crystal Skull,,"$317,101,119","4,264","$317,101,119",May 22,Paramount Pictures
4,Hancock,,"$227,946,274","3,965","$227,946,274",Jul 2,Sony Pictures Releasing
5,WALL·E,,"$223,790,612","3,992","$223,808,164",Jun 27,Walt Disney Studios Motion Pictures
6,Kung Fu Panda,,"$215,434,591","4,136","$215,434,591",Jun 6,DreamWorks
7,Madagascar: Escape 2 Africa,,"$175,687,934","4,065","$180,010,950",Nov 7,DreamWorks
8,Twilight,,"$170,672,976","3,649","$192,769,854",Nov 21,Summit Entertainment
9,Quantum of Solace,,"$165,258,802","3,501","$168,368,427",Nov 14,Sony Pictures Releasing
10,Horton Hears a Who!,,"$154,529,439","3,961","$154,529,439",Mar 14,Twentieth Century Fox
11,Sex and the City,,"$152,647,258","3,325","$152,647,258",May 30,Warner Bros.
12,Mamma Mia!,,"$144,130,063","3,194","$144,290,968",Jul 18,Universal Pictures
13,The Chronicles of Narnia: Prince Caspian,,"$141,621,490","3,929","$141,621,490",May 16,Walt Disney Studios Motion Pictures
14,The Incredible Hulk,,"$134,806,913","3,508","$134,806,913",Jun 13,Universal Pictures
15,Wanted,,"$134,508,551","3,185","$134,508,551",Jun 27,Universal Pictures
16,Get Smart,,"$130,319,208","3,915","$130,319,208",Jun 20,Warner Bros.
17,Juno,,"$115,568,813","2,534","$143,495,265",Dec 5,-
18,Four Christmases,,"$114,136,302","3,540","$120,146,040",Nov 26,Warner Bros.
19,Tropic Thunder,,"$110,515,313","3,473","$110,515,313",Aug 13,DreamWorks
20,Bolt,,"$105,380,479","3,654","$114,053,579",Nov 21,Walt Disney Studios Motion Pictures
21,The Mummy: Tomb of the Dragon Emperor,,"$102,491,776","3,778","$102,491,776",Aug 1,Universal Pictures
22,Journey to the Center of the Earth,,"$101,704,370","2,830","$101,704,370",Jul 11,Warner Bros.
23,Eagle Eye,,"$101,198,986","3,614","$101,440,743",Sep 26,DreamWorks
24,Step Brothers,,"$100,468,793","3,182","$100,468,793",Jul 25,Sony Pictures Releasing
25,You Don't Mess with the Zohan,,"$100,018,837","3,466","$100,018,837",Jun 6,Sony Pictures Releasing
26,"10,000 BC",,"$94,784,201","3,454","$94,784,201",Mar 7,Warner Bros.
27,Beverly Hills Chihuahua,,"$93,034,296","3,239","$94,514,402",Oct 3,Walt Disney Studios Motion Pictures
28,The Bucket List,,"$92,719,141","2,915","$93,466,502",Dec 25,Warner Bros.
29,High School Musical 3: Senior Year,,"$89,682,061","3,626","$90,559,416",Oct 24,Walt Disney Studios Motion Pictures
30,Pineapple Express,,"$87,341,380","3,072","$87,341,380",Aug 6,Sony Pictures Releasing
31,National Treasure: Book of Secrets,,"$86,700,433","3,832","$219,964,115",Dec 21,Walt Disney Studios Motion Pictures
32,21,,"$81,159,365","2,952","$81,159,365",Mar 28,Sony Pictures Releasing
33,What Happens in Vegas,,"$80,277,646","3,255","$80,277,646",May 9,Twentieth Century Fox
34,Jumper,,"$80,172,128","3,430","$80,172,128",Feb 14,Twentieth Century Fox
35,Cloverfield,,"$80,048,433","3,411","$80,048,433",Jan 18,Paramount Pictures
36,27 Dresses,,"$76,808,654","3,074","$76,808,654",Jan 18,Twentieth Century Fox
37,Hellboy II: The Golden Army,,"$75,986,503","3,212","$75,986,503",Jul 11,Universal Pictures
38,Marley & Me,,"$72,444,071","3,505","$143,153,751",Dec 25,Twentieth Century Fox
39,Vantage Point,,"$72,266,306","3,163","$72,266,306",Feb 22,Sony Pictures Releasing
40,The Spiderwick Chronicles,,"$71,195,053","3,847","$71,195,053",Feb 14,Paramount Pictures
41,Alvin and the Chipmunks,,"$70,249,659","3,499","$217,326,974",Dec 14,Twentieth Century Fox
42,Fool's Gold,,"$70,231,041","3,125","$70,231,041",Feb 8,Warner Bros.
43,The Day the Earth Stood Still,,"$67,286,845","3,560","$79,366,978",Dec 12,Twentieth Century Fox
44,Role Models,,"$66,367,815","2,798","$67,294,270",Nov 7,Universal Pictures
45,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,,"$65,281,781",687,"$65,281,781",Feb 1,Walt Disney Studios Motion Pictures
46,The Happening,,"$64,506,874","2,986","$64,506,874",Jun 13,Twentieth Century Fox
47,Forgetting Sarah Marshall,,"$63,172,463","2,872","$63,172,463",Apr 18,Universal Pictures
48,Baby Mama,,"$60,494,212","2,627","$60,494,212",Apr 25,Universal Pictures
49,Burn After Reading,,"$60,355,347","2,657","$60,355,347",Sep 12,Focus Features
50,Yes Man,,"$60,029,690","3,434","$97,690,976",Dec 19,Warner Bros.
51,Step Up 2: The Streets,,"$58,016,931","2,528","$58,017,783",Feb 14,Walt Disney Studios Motion Pictures
52,I Am Legend,,"$57,047,856","3,648","$256,393,010",Dec 14,Warner Bros.
53,Saw V,,"$56,746,769","3,084","$56,746,769",Oct 24,Lionsgate Films
54,Bedtime Stories,,"$56,700,912","3,684","$110,101,975",Dec 25,Walt Disney Studios Motion Pictures
55,The Curious Case of Benjamin Button,,"$52,666,148","2,988","$127,509,326",Dec 25,Paramount Pictures
56,The Strangers,,"$52,597,610","2,477","$52,597,610",May 30,Rogue Pictures
57,The Forbidden Kingdom,,"$52,075,270","3,151","$52,075,270",Apr 18,Lionsgate Films
58,The House Bunny,,"$48,237,389","2,763","$48,237,389",Aug 22,Sony Pictures Releasing
59,Nim's Island,,"$48,006,762","3,518","$48,006,762",Apr 4,Twentieth Century Fox
60,Made of Honor,,"$46,012,734","2,816","$46,012,734",May 2,Sony Pictures Releasing
61,Seven Pounds,,"$45,938,985","2,758","$69,951,824",Dec 19,Sony Pictures Releasing
62,College Road Trip,,"$45,610,425","2,706","$45,610,425",Mar 7,Walt Disney Studios Motion Pictures
63,Australia,,"$45,135,608","2,721","$49,554,002",Nov 26,Twentieth Century Fox
64,The Sisterhood of the Traveling Pants 2,,"$44,089,964","2,714","$44,089,964",Aug 6,Warner Bros.
65,Speed Racer,,"$43,945,766","3,606","$43,945,766",May 9,Warner Bros.
66,Prom Night,,"$43,869,350","2,821","$43,869,350",Apr 11,Screen Gems
67,Rambo,,"$42,754,105","2,764","$42,754,105",Jan 25,Lionsgate Films
68,"Welcome Home, Roscoe Jenkins",,"$42,436,517","2,387","$42,436,517",Feb 8,Universal Pictures
69,Meet the Browns,,"$41,975,388","2,016","$41,975,388",Mar 21,Lionsgate Films
70,Nights in Rodanthe,,"$41,745,871","2,704","$41,850,659",Sep 26,Warner Bros.
71,Valkyrie,,"$40,901,858","2,838","$83,077,833",Dec 25,United Artists
72,Max Payne,,"$40,662,868","3,381","$40,689,393",Oct 17,Twentieth Century Fox
