rank,title,re_release,gross,num_theaters,total_gross,date,distributor
1,Ghost,,"$205,344,137","1,766","$217,631,306",Jul 13,Paramount Pictures
2,Pretty Woman,,"$170,111,732","1,811","$178,406,268",Mar 23,Walt Disney Studios Motion Pictures
3,Home Alone,,"$143,592,523","2,173","$285,761,243",Nov 16,Twentieth Century Fox
4,Teenage Mutant Ninja Turtles,,"$135,265,915","2,377","$135,265,915",Mar 30,New Line Cinema
5,The Hunt for Red October,,"$122,012,643","1,817","$122,012,643",Mar 2,Paramount Pictures
6,Total Recall,,"$119,394,840","2,131","$119,394,840",Jun 1,Sony Pictures Releasing
7,Die Hard 2,,"$117,540,947","2,507","$117,540,947",Jul 6,Twentieth Century Fox
8,Driving Miss Daisy,,"$103,859,381","1,668","$106,593,296",Dec 15,Warner Bros.
9,Dick Tracy,,"$103,738,726","2,332","$103,738,726",Jun 15,Walt Disney Studios Motion Pictures
10,Back to the Future Part III,,"$87,727,583","2,070","$87,727,583",May 25,Universal Pictures
11,Presumed Innocent,,"$86,303,188","1,451","$86,303,188",Jul 27,Warner Bros.
12,Days of Thunder,,"$82,670,733","2,307","$82,670,733",Jun 29,Paramount Pictures
13,Another 48 Hrs.,,"$80,818,974","2,721","$80,818,974",Jun 8,Paramount Pictures
14,Bird on a Wire,,"$70,978,012","2,008","$70,978,012",May 18,Universal Pictures
15,Born on the Fourth of July,,"$69,252,460","1,434","$70,001,698",Dec 22,Universal Pictures
16,Flatliners,,"$61,489,265","1,483","$61,489,265",Aug 10,Columbia Pictures
17,Dances with Wolves,,"$57,752,323","1,636","$184,208,848",Nov 9,Orion Pictures
18,Problem Child,,"$53,470,891","1,769","$53,470,891",Jul 27,Universal Pictures
19,Arachnophobia,,"$53,208,180","2,005","$53,208,180",Jul 20,Walt Disney Studios Motion Pictures
20,Three Men and a Little Lady,,"$51,588,619","1,614","$71,609,321",Nov 21,Walt Disney Studios Motion Pictures
21,The War of the Roses,,"$47,917,942","1,559","$86,888,546",Dec 8,Twentieth Century Fox
22,Hard to Kill,,"$47,410,827","1,508","$47,410,827",Feb 9,Warner Bros.
23,Marked for Death,,"$46,044,396","1,974","$46,044,396",Oct 5,Twentieth Century Fox
24,Tango & Cash,,"$45,934,115","1,575","$63,408,614",Dec 22,Warner Bros.
25,RoboCop 2,,"$45,681,173","1,806","$45,681,173",Jun 22,Orion Pictures
