rank,title,re_release,gross,num_theaters,total_gross,date,distributor
1,Star Wars: Episode I - The Phantom Menace,,"$430,281,928","3,126","$431,088,295",May 19,Twentieth Century Fox
2,The Sixth Sense,,"$276,113,671","2,821","$293,506,292",Aug 6,Walt Disney Studios Motion Pictures
3,Austin Powers: The Spy Who Shagged Me,,"$206,040,086","3,314","$206,040,086",Jun 9,New Line Cinema
4,Toy Story 2,,"$199,843,054","3,257","$245,852,179",Nov 19,Walt Disney Studios Motion Pictures
5,The Matrix,,"$171,479,930","2,903","$171,479,930",Mar 31,Warner Bros.
6,Tarzan,,"$170,867,780","3,131","$171,091,819",Jun 16,Walt Disney Studios Motion Pictures
7,Big Daddy,,"$163,479,795","3,254","$163,479,795",Jun 25,Sony Pictures Releasing
8,The Mummy,,"$155,385,488","3,411","$155,516,138",May 7,Universal Pictures
9,Runaway Bride,,"$152,005,535","3,240","$152,257,509",Jul 30,Paramount Pictures
10,The Blair Witch Project,,"$140,539,099","2,538","$140,539,099",Jul 16,Artisan Entertainment
11,Notting Hill,,"$116,089,678","2,786","$116,089,678",May 28,Universal Pictures
12,The World Is Not Enough,,"$115,578,168","3,163","$126,943,684",Nov 19,Metro-Goldwyn-Mayer (MGM)
13,Double Jeopardy,,"$113,986,729","3,002","$116,741,558",Sep 24,Paramount Pictures
14,Wild Wild West,,"$113,804,681","3,342","$113,804,681",Jun 30,Warner Bros.
15,Analyze This,,"$106,885,658","2,537","$106,885,658",Mar 5,Warner Bros.
16,The General's Daughter,,"$102,705,852","2,858","$102,705,852",Jun 18,Paramount Pictures
17,American Pie,,"$102,561,004","2,544","$102,561,004",Jul 9,Universal Pictures
18,Inspector Gadget,,"$97,403,112","2,877","$97,403,112",Jul 23,Walt Disney Studios Motion Pictures
19,Shakespeare in Love,,"$94,078,225","2,030","$100,317,794",Dec 11,Miramax
20,Sleepy Hollow,,"$91,617,021","3,069","$101,071,502",Nov 19,Paramount Pictures
21,The Haunting,,"$91,411,151","2,881","$91,411,151",Jul 23,DreamWorks Distribution
22,Patch Adams,,"$88,582,577","2,909","$135,026,902",Dec 25,Universal Pictures
23,Entrapment,,"$87,704,396","2,879","$87,704,396",Apr 30,Twentieth Century Fox
24,Pokémon: The First Movie - Mewtwo Strikes Back,,"$83,963,465","3,043","$85,744,662",Nov 10,Warner Bros.
25,Payback,,"$81,526,121","2,855","$81,526,121",Feb 5,Paramount Pictures
