rank,title,re_release,gross,num_theaters,total_gross,date,distributor
1,Jurassic Park,,"$338,929,640","2,566","$357,067,947",Jun 11 1993,Universal Pictures
2,The Fugitive,,"$176,469,222","2,425","$183,875,760",Aug 6 1993,Warner Bros.
3,The Firm,,"$158,348,367","2,393","$158,348,367",Jul 2 1993,Paramount Pictures
4,Sleepless in Seattle,,"$126,680,884","1,657","$126,680,884",Jun 25 1993,TriStar Pictures
5,Mrs. Doubtfire,,"$109,086,478","2,354","$219,195,243",Nov 24 1993,Twentieth Century Fox
6,Indecent Proposal,,"$106,614,059","1,922","$106,614,059",Apr 9 1993,Paramount Pictures
7,In the Line of Fire,,"$102,314,823","2,129","$102,314,823",Jul 9 1993,Columbia Pictures
8,Aladdin,,"$99,919,569","2,331","$217,350,219",Nov 13 1993,Walt Disney Studios Motion Pictures
9,Cliffhanger,,"$84,049,211","2,431","$84,049,211",May 28 1993,TriStar Pictures
10,A Few Good Men,,"$78,211,341","2,201","$141,340,178",Dec 11 1993,Columbia Pictures
11,Free Willy,,"$77,698,625","1,937","$77,698,625",Jul 16 1993,Warner Bros.
12,Groundhog Day,,"$70,906,973","1,742","$70,906,973",Feb 12 1993,Columbia Pictures
13,Dave,,"$63,270,710","1,916","$63,270,710",May 7 1993,Warner Bros.
14,Rising Sun,,"$63,179,523","1,722","$63,179,523",Jul 30 1993,Twentieth Century Fox
15,Scent of a Woman,,"$62,252,413","1,252","$63,095,253",Dec 23 1993,Universal Pictures
16,Cool Runnings,,"$60,936,096","1,832","$68,856,263",Oct 1 1993,Walt Disney Studios Motion Pictures
17,The Crying Game,,"$59,348,005","1,097","$62,548,947",Nov 27 1993,Miramax
18,Demolition Man,,"$58,055,768","2,258","$58,055,768",Oct 8 1993,Warner Bros.
19,Rookie of the Year,,"$52,267,580","1,544","$53,615,089",Jul 9 1993,Twentieth Century Fox
20,Dennis the Menace,,"$51,270,765","2,085","$51,270,765",Jun 25 1993,Warner Bros.
21,The Pelican Brief,,"$50,356,560","2,022","$100,768,056",Dec 17 1993,Warner Bros.
22,Sommersby,,"$50,081,992","1,762","$50,081,992",Feb 5 1993,Warner Bros.
23,Last Action Hero,,"$50,016,394","2,339","$50,016,394",Jun 18 1993,Columbia Pictures
24,The Nightmare Before Christmas,,"$50,003,043","1,671","$50,003,043",Oct 15 1993,Walt Disney Studios Motion Pictures
25,The Three Musketeers,,"$47,697,164","2,128","$53,898,845",Nov 12 1993,Walt Disney Studios Motion Pictures
26,Malice,,"$46,405,336","1,519","$46,405,336",Oct 1 1993,Columbia Pictures
27,Made in America,,"$44,942,695","2,048","$44,942,695",May 28 1993,Warner Bros.
28,The Good Son,,"$44,789,789","1,902","$44,789,789",Sep 24 1993,Twentieth Century Fox
29,Addams Family Values,,"$44,228,909","2,577","$48,919,043",Nov 19 1993,Paramount Pictures
30,The Beverly Hillbillies,,"$44,029,386","2,162","$44,029,386",Oct 15 1993,Twentieth Century Fox
31,Teenage Mutant Ninja Turtles III,,"$42,273,609","2,087","$42,273,609",Mar 19 1993,New Line Cinema
32,Homeward Bound: The Incredible Journey,,"$41,833,324","1,798","$41,833,324",Feb 5 1993,Walt Disney Studios Motion Pictures
33,Snow White and the Seven Dwarfs,1993 Re-release,"$41,634,471","1,831","$41,634,471",Jul 2 1993,Walt Disney Studios Motion Pictures
34,Hocus Pocus,,"$39,514,713","1,472","$39,514,713",Jul 16 1993,Walt Disney Studios Motion Pictures
35,What's Love Got to Do with It,,"$39,100,956","1,100","$39,100,956",Jun 11 1993,Walt Disney Studios Motion Pictures
36,Falling Down,,"$39,050,515","1,827","$40,903,593",Feb 26 1993,Warner Bros.
37,Hot Shots! Part Deux,,"$38,922,972","2,140","$38,922,972",May 21 1993,Twentieth Century Fox
38,The Bodyguard,,"$37,910,148","1,806","$121,945,720",Nov 25 1993,Warner Bros.
39,Home Alone 2: Lost in New York,,"$37,379,151","2,461","$173,585,516",Nov 20 1993,Twentieth Century Fox
40,Carlito's Way,,"$36,948,322","1,634","$36,948,322",Nov 12 1993,Universal Pictures
41,Wayne's World 2,,"$36,870,258","2,400","$48,197,805",Dec 10 1993,Paramount Pictures
42,Alive,,"$36,733,909","1,337","$36,733,909",Jan 15 1993,Walt Disney Studios Motion Pictures
43,Son in Law,,"$36,448,400","1,406","$36,448,400",Jul 2 1993,Walt Disney Studios Motion Pictures
44,Sliver,,"$36,300,000","2,093","$36,300,000",May 21 1993,Paramount Pictures
45,Robin Hood: Men in Tights,,"$35,739,755","1,407","$35,739,755",Jul 30 1993,Twentieth Century Fox
46,Dragon: The Bruce Lee Story,,"$35,113,743","1,985","$35,113,743",May 7 1993,Universal Pictures
47,Sister Act 2: Back in the Habit,,"$34,310,420","2,178","$57,319,029",Dec 10 1993,Walt Disney Studios Motion Pictures
48,The Joy Luck Club,,"$32,901,136",600,"$32,901,136",Sep 10 1993,Walt Disney Studios Motion Pictures
