rank,title,re_release,gross,num_theaters,total_gross,date,distributor
1,Batman Forever,,"$184,031,112","2,893","$184,031,112",Jun 16 1995,Warner Bros.
2,Apollo 13,,"$172,071,312","2,347","$172,071,312",Jun 30 1995,Universal Pictures
3,Toy Story,,"$146,198,683","2,574","$191,796,233",Nov 22 1995,Walt Disney Studios Motion Pictures
4,Pocahontas,,"$139,213,552","2,757","$141,579,773",Jun 16 1995,Walt Disney Studios Motion Pictures
5,Ace Ventura: When Nature Calls,,"$103,970,943","2,705","$108,385,533",Nov 10 1995,Warner Bros.
6,Casper,,"$100,328,194","2,757","$100,439,549",May 26 1995,Universal Pictures
7,Die Hard with a Vengeance,,"$92,731,700","2,579","$100,012,499",May 19 1995,Twentieth Century Fox
8,Crimson Tide,,"$91,387,195","2,514","$91,387,195",May 12 1995,Walt Disney Studios Motion Pictures
9,GoldenEye,,"$91,349,839","2,667","$106,429,941",Nov 17 1995,Metro-Goldwyn-Mayer (MGM)
10,Waterworld,,"$88,246,220","2,420","$88,246,220",Jul 28 1995,Universal Pictures
11,Dangerous Minds,,"$84,919,401","1,783","$84,919,401",Aug 11 1995,Walt Disney Studios Motion Pictures
12,Se7en,,"$84,677,598","2,528","$100,125,643",Sep 22 1995,New Line Cinema
13,Congo,,"$81,022,101","2,676","$81,022,101",Jun 9 1995,Paramount Pictures
14,While You Were Sleeping,,"$78,046,518","2,086","$81,057,016",Apr 21 1995,Walt Disney Studios Motion Pictures
15,Get Shorty,,"$72,101,622","2,103","$72,101,622",Oct 20 1995,Metro-Goldwyn-Mayer (MGM)
16,The Bridges of Madison County,,"$71,516,617","1,986","$71,516,617",Jun 2 1995,Warner Bros.
17,Mortal Kombat,,"$70,454,098","2,630","$70,454,098",Aug 18 1995,New Line Cinema
18,Dumb and Dumber,,"$70,423,183","2,565","$127,175,374",Dec 16 1995,New Line Cinema
19,Nine Months,,"$69,684,532","1,795","$69,684,532",Jul 14 1995,Twentieth Century Fox
20,Outbreak,,"$67,659,560","2,230","$67,659,560",Mar 10 1995,Warner Bros.
21,Braveheart,,"$67,018,286","2,037","$75,609,945",May 24 1995,Paramount Pictures
22,Legends of the Fall,,"$66,328,357","2,038","$66,638,883",Dec 23 1995,Sony Pictures Releasing
23,Bad Boys,,"$65,807,024","2,132","$65,807,024",Apr 7 1995,Sony Pictures Releasing
24,Species,,"$60,074,103","2,310","$60,074,103",Jul 7 1995,Metro-Goldwyn-Mayer (MGM)
25,Clueless,,"$56,631,572","1,922","$56,631,572",Jul 21 1995,Paramount Pictures
26,Something to Talk About,,"$50,865,589","1,787","$50,865,589",Aug 4 1995,Warner Bros.
27,Babe,,"$50,324,975","1,790","$63,658,910",Aug 4 1995,Universal Pictures
28,Under Siege 2: Dark Territory,,"$50,024,083","2,150","$50,024,083",Jul 14 1995,Warner Bros.
29,A Walk in the Clouds,,"$50,008,143","1,755","$50,008,143",Aug 11 1995,Twentieth Century Fox
30,The Net,,"$49,535,015","2,027","$50,727,965",Jul 28 1995,Sony Pictures Releasing
31,The American President,,"$49,072,457","1,508","$60,079,496",Nov 17 1995,Sony Pictures Releasing
32,Jumanji,,"$48,800,146","2,530","$100,475,249",Dec 15 1995,Sony Pictures Releasing
33,The Brady Bunch Movie,,"$46,576,136","1,941","$46,576,136",Feb 17 1995,Paramount Pictures
34,Father of the Bride Part II,,"$46,159,936","2,148","$76,594,107",Dec 8 1995,Walt Disney Studios Motion Pictures
35,Pulp Fiction,,"$45,561,867","1,494","$107,928,762",Oct 14 1995,Miramax
36,Man of the House,,"$40,070,995","2,059","$40,070,995",Mar 3 1995,Walt Disney Studios Motion Pictures
37,Nobody's Fool,,"$39,254,967","1,107","$39,491,975",Dec 23 1995,Paramount Pictures
38,Disclosure,,"$38,953,580","2,168","$83,015,089",Dec 9 1995,Warner Bros.
39,French Kiss,,"$38,896,854","1,754","$38,896,854",May 5 1995,Twentieth Century Fox
40,Higher Learning,,"$38,290,723","1,450","$38,290,723",Jan 13 1995,Sony Pictures Releasing
41,Mighty Morphin Power Rangers,,"$38,187,431","2,409","$38,187,431",Jun 30 1995,Twentieth Century Fox
42,First Knight,,"$37,600,435","2,161","$37,600,435",Jul 7 1995,Sony Pictures Releasing
43,Just Cause,,"$36,853,222","2,059","$36,853,222",Feb 17 1995,Warner Bros.
44,Casino,,"$36,734,010","1,631","$42,512,375",Nov 22 1995,Universal Pictures
45,"To Wong Foo, Thanks for Everything! Julie Newmar",,"$36,474,193","1,489","$36,474,193",Sep 8 1995,Universal Pictures
46,The Indian in the Cupboard,,"$35,656,131","1,723","$35,656,131",Jul 14 1995,Paramount Pictures
47,A Goofy Movie,,"$35,348,597","2,176","$35,348,597",Apr 7 1995,Walt Disney Studios Motion Pictures
48,Judge Dredd,,"$34,693,481","2,204","$34,693,481",Jun 30 1995,Walt Disney Studios Motion Pictures
49,Money Train,,"$34,285,904","2,522","$35,431,113",Nov 22 1995,Sony Pictures Releasing
50,Little Women,,"$34,083,620","1,579","$50,083,616",Dec 21 1995,Sony Pictures Releasing
51,Forget Paris,,"$33,177,694","1,609","$33,177,694",May 19 1995,Sony Pictures Releasing
52,Tommy Boy,,"$32,679,899","2,186","$32,679,899",Mar 31 1995,Paramount Pictures
53,Heat,,"$31,743,516","1,704","$67,436,818",Dec 15 1995,Warner Bros.
54,Rob Roy,,"$31,596,911","1,885","$31,596,911",Apr 7 1995,Metro-Goldwyn-Mayer (MGM)
55,Powder,,"$30,862,156","1,621","$30,862,156",Oct 27 1995,Walt Disney Studios Motion Pictures
56,Assassins,,"$30,303,072","2,343","$30,303,072",Oct 6 1995,Warner Bros.
57,Free Willy 2: The Adventure Home,,"$30,077,111","2,301","$30,077,111",Jul 21 1995,Warner Bros.
58,Forrest Gump,,"$30,003,439","2,365","$329,694,499",Jul 6 1995,Paramount Pictures
59,Waiting to Exhale,,"$29,606,425","1,402","$67,052,156",Dec 22 1995,Twentieth Century Fox
60,Major Payne,,"$29,412,050","1,991","$29,412,050",Mar 24 1995,Universal Pictures
61,Copycat,,"$29,180,667","1,661","$32,051,917",Oct 27 1995,Warner Bros.
62,The Jungle Book,,"$27,823,518","2,012","$43,229,904",Dec 25 1995,Walt Disney Studios Motion Pictures
63,Friday,,"$27,467,564",883,"$27,467,564",Apr 28 1995,New Line Cinema
64,Now and Then,,"$27,112,329","1,713","$27,112,329",Oct 20 1995,New Line Cinema
65,Houseguest,,"$26,325,256","1,604","$26,325,256",Jan 6 1995,Walt Disney Studios Motion Pictures
66,Sabrina,,"$26,099,448","1,976","$53,672,080",Dec 15 1995,Paramount Pictures
67,Billy Madison,,"$25,588,734","1,887","$25,588,734",Feb 10 1995,Universal Pictures
68,Desperado,,"$25,405,445","2,027","$25,405,445",Aug 25 1995,Sony Pictures Releasing
69,Nell,,"$24,946,745","1,236","$33,683,817",Dec 16 1995,Twentieth Century Fox
70,Operation Dumbo Drop,,"$24,670,346","2,158","$24,670,346",Jul 28 1995,Walt Disney Studios Motion Pictures
71,Dolores Claiborne,,"$24,361,867","1,256","$24,361,867",Mar 24 1995,Sony Pictures Releasing
72,Dead Presidents,,"$24,147,179","1,084","$24,147,179",Oct 6 1995,Walt Disney Studios Motion Pictures
73,Virtuosity,,"$24,047,675","2,012","$24,047,675",Aug 4 1995,Paramount Pictures
74,How to Make an American Quilt,,"$23,600,020","1,532","$23,600,020",Oct 6 1995,Universal Pictures
75,Grumpier Old Men,,"$23,513,104","2,037","$71,518,503",Dec 22 1995,Warner Bros.
76,Boys on the Side,,"$23,440,188","1,552","$23,440,188",Feb 3 1995,Warner Bros.
77,Circle of Friends,,"$23,389,975",902,"$23,389,975",Mar 17 1995,-
78,The Usual Suspects,,"$23,341,568",876,"$23,341,568",Aug 18 1995,Gramercy Pictures (I)
79,Richie Rich,,"$22,397,649","1,761","$38,087,756",Dec 21 1995,Warner Bros.
80,Don Juan DeMarco,,"$22,150,451","1,226","$22,150,451",Apr 7 1995,New Line Cinema
81,To Die For,,"$21,284,514",954,"$21,284,514",Sep 29 1995,Sony Pictures Releasing
82,Tales from the Crypt: Demon Knight,,"$21,089,146","1,732","$21,089,146",Jan 13 1995,Universal Pictures
83,Showgirls,,"$20,350,754","1,388","$20,350,754",Sep 22 1995,Metro-Goldwyn-Mayer (MGM)
84,Vampire in Brooklyn,,"$19,751,736","2,307","$19,751,736",Oct 27 1995,Paramount Pictures
85,It Takes Two,,"$19,474,589","1,581","$19,474,589",Nov 17 1995,Warner Bros.
86,Johnny Mnemonic,,"$19,075,720","2,035","$19,075,720",May 26 1995,Sony Pictures Releasing
87,The Quick and the Dead,,"$18,636,537","2,158","$18,636,537",Feb 10 1995,Sony Pictures Releasing
