rank,title,re_release,gross,num_theaters,total_gross,date,distributor
1,Independence Day,,"$306,156,090","2,977","$306,169,268",Jul 3 1996,Twentieth Century Fox
2,Twister,,"$241,721,524","2,808","$241,721,524",May 10 1996,Warner Bros.
3,Mission: Impossible,,"$180,981,856","3,012","$180,981,856",May 22 1996,Paramount Pictures
4,The Rock,,"$134,069,511","2,426","$134,069,511",Jun 7 1996,Walt Disney Studios Motion Pictures
5,The Nutty Professor,,"$128,814,019","2,239","$128,814,019",Jun 28 1996,Universal Pictures
6,Ransom,,"$125,502,048","2,768","$136,492,681",Nov 8 1996,Walt Disney Studios Motion Pictures
7,The Birdcage,,"$124,060,553","2,285","$124,060,553",Mar 8 1996,Metro-Goldwyn-Mayer (MGM)
8,A Time to Kill,,"$108,766,007","2,313","$108,766,007",Jul 24 1996,Warner Bros.
9,101 Dalmatians,,"$108,240,682","2,901","$136,189,294",Nov 27 1996,Walt Disney Studios Motion Pictures
10,The First Wives Club,,"$105,489,203","2,406","$105,489,203",Sep 20 1996,Paramount Pictures
11,Eraser,,"$99,013,389","2,556","$101,295,562",Jun 21 1996,Warner Bros.
12,Phenomenon,,"$98,208,771","2,139","$104,636,382",Jul 5 1996,Walt Disney Studios Motion Pictures
13,The Hunchback of Notre Dame,,"$91,489,705","2,835","$100,138,851",Jun 21 1996,Walt Disney Studios Motion Pictures
14,Star Trek: First Contact,,"$85,991,982","2,812","$92,027,888",Nov 22 1996,Paramount Pictures
15,Space Jam,,"$82,833,835","2,650","$90,418,342",Nov 15 1996,Warner Bros.
16,Mr. Holland's Opus,,"$82,582,959","1,659","$82,569,971",Dec 29 1996,Walt Disney Studios Motion Pictures
17,Broken Arrow,,"$70,770,147","2,392","$70,770,147",Feb 9 1996,Twentieth Century Fox
18,Jerry Maguire,,"$65,675,817","2,531","$153,952,592",Dec 13 1996,Sony Pictures Releasing
19,The Cable Guy,,"$60,240,295","2,657","$60,240,295",Jun 14 1996,Sony Pictures Releasing
20,Courage Under Fire,,"$59,031,057","2,001","$59,031,057",Jul 12 1996,Twentieth Century Fox
21,Jack,,"$58,620,973","2,232","$58,620,973",Aug 9 1996,Walt Disney Studios Motion Pictures
22,12 Monkeys,,"$56,985,718","1,629","$57,141,459",Dec 29 1996,Universal Pictures
23,Executive Decision,,"$56,569,216","2,289","$56,569,216",Mar 15 1996,Warner Bros.
24,Primal Fear,,"$56,116,183","1,983","$56,116,183",Apr 5 1996,Paramount Pictures
25,Jingle All the Way,,"$54,099,870","2,404","$60,592,389",Nov 22 1996,Twentieth Century Fox
