rank,title,re_release,gross,num_theaters,total_gross,date,distributor
1,Transformers: Revenge of the Fallen,,"$402,111,870","4,293","$402,111,870",Jun 24,DreamWorks
2,Harry Potter and the Half-Blood Prince,,"$301,959,197","4,455","$301,959,197",Jul 15,Warner Bros.
3,Up,,"$293,004,164","3,886","$293,004,164",May 29,Walt Disney Studios Motion Pictures
4,The Twilight Saga: New Moon,,"$284,512,392","4,124","$296,623,634",Nov 20,Summit Entertainment
5,Avatar,,"$283,624,210","3,461","$749,766,139",Dec 18,Twentieth Century Fox
6,The Hangover,,"$277,322,503","3,545","$277,322,503",Jun 5,Warner Bros.
7,Star Trek,,"$257,730,019","4,053","$257,730,019",May 8,Paramount Pictures
8,Monsters vs. Aliens,,"$198,351,526","4,136","$198,351,526",Mar 27,DreamWorks
9,Ice Age: Dawn of the Dinosaurs,,"$196,573,705","4,102","$196,573,705",Jul 1,Twentieth Century Fox
10,The Blind Side,,"$196,563,318","3,407","$255,959,475",Nov 20,Warner Bros.
11,X-Men Origins: Wolverine,,"$179,883,157","4,102","$179,883,157",May 1,Twentieth Century Fox
12,Night at the Museum: Battle of the Smithsonian,,"$177,243,721","4,101","$177,243,721",May 22,Twentieth Century Fox
13,The Proposal,,"$163,958,031","3,158","$163,958,031",Jun 19,Walt Disney Studios Motion Pictures
14,2012,,"$162,349,001","3,444","$166,112,167",Nov 13,Sony Pictures Releasing
15,Fast & Furious,,"$155,064,265","3,674","$155,064,265",Apr 3,Universal Pictures
16,G.I. Joe: The Rise of Cobra,,"$150,201,498","4,007","$150,201,498",Aug 7,Paramount Pictures
17,Paul Blart: Mall Cop,,"$146,336,178","3,206","$146,336,178",Jan 16,Sony Pictures Releasing
18,Taken,,"$145,000,989","3,184","$145,000,989",Jan 30,Twentieth Century Fox
19,Gran Torino,,"$142,214,209","3,045","$148,095,302",Dec 12,Warner Bros.
20,A Christmas Carol,,"$136,889,051","3,683","$137,855,863",Nov 6,Walt Disney Studios Motion Pictures
21,Angels & Demons,,"$133,375,846","3,527","$133,375,846",May 15,Sony Pictures Releasing
22,Terminator Salvation,,"$125,322,469","3,602","$125,322,469",May 21,Warner Bros.
23,Cloudy with a Chance of Meatballs,,"$123,910,697","3,119","$124,870,275",Sep 18,Sony Pictures Releasing
24,Alvin and the Chipmunks: The Squeakquel,,"$120,727,282","3,747","$219,614,612",Dec 23,Twentieth Century Fox
25,Inglourious Basterds,,"$120,540,719","3,358","$120,540,719",Aug 21,The Weinstein Company
26,G-Force,,"$119,436,770","3,697","$119,436,770",Jul 24,Walt Disney Studios Motion Pictures
27,Slumdog Millionaire,,"$119,092,566","2,943","$141,319,928",Nov 12,-
28,District 9,,"$115,646,235","3,180","$115,646,235",Aug 14,TriStar Pictures
29,Couples Retreat,,"$108,297,465","3,074","$109,204,945",Oct 9,Universal Pictures
30,Paranormal Activity,,"$107,792,845","2,712","$107,918,810",Sep 25,Paramount Pictures
31,Watchmen,,"$107,509,799","3,611","$107,509,799",Mar 6,Warner Bros.
32,Sherlock Holmes,,"$102,102,956","3,626","$209,028,679",Dec 25,Warner Bros.
33,Public Enemies,,"$97,104,620","3,336","$97,104,620",Jul 1,Universal Pictures
34,Julie & Julia,,"$94,125,426","2,528","$94,125,426",Aug 7,Sony Pictures Releasing
35,He's Just Not That Into You,,"$93,953,653","3,175","$93,953,653",Feb 6,Warner Bros.
36,Madea Goes to Jail,,"$90,508,336","2,203","$90,508,336",Feb 20,Lionsgate Films
37,The Ugly Truth,,"$88,915,214","2,975","$88,915,214",Jul 24,Sony Pictures Releasing
38,Knowing,,"$79,957,634","3,337","$79,957,634",Mar 20,Summit Entertainment
39,Hannah Montana: The Movie,,"$79,576,189","3,231","$79,576,189",Apr 10,Walt Disney Studios Motion Pictures
40,Where the Wild Things Are,,"$76,301,979","3,735","$77,233,467",Oct 16,Warner Bros.
41,The Princess and the Frog,,"$76,035,028","3,475","$104,400,899",Nov 25,Walt Disney Studios Motion Pictures
42,Zombieland,,"$75,590,286","3,171","$75,590,286",Oct 2,Sony Pictures Releasing
43,Coraline,,"$75,286,229","2,320","$75,286,229",Feb 6,Focus Features
44,The Curious Case of Benjamin Button,,"$74,843,178","2,988","$127,509,326",Dec 25,Paramount Pictures
45,Hotel for Dogs,,"$73,034,460","3,271","$73,034,460",Jan 16,DreamWorks
46,Law Abiding Citizen,,"$72,764,227","2,890","$73,357,727",Oct 16,Overture Films
47,This Is It,,"$72,091,016","3,481","$72,091,016",Oct 28,Sony Pictures Releasing
48,"I Love You, Man",,"$71,440,011","2,829","$71,440,011",Mar 20,DreamWorks
