rank,title,re_release,gross,num_theaters,total_gross,date,distributor
1,E.T. the Extra-Terrestrial,,"$314,911,094","1,778","$359,197,037",Jun 11,Universal Pictures
2,Raiders of the Lost Ark,,"$190,360,115","1,078","$212,222,025",Jun 12,Paramount Pictures
3,Rocky III,,"$124,146,897","1,317","$124,146,897",May 28,United Artists
4,On Golden Pond,,"$118,720,608","1,015","$119,285,432",Dec 4,Universal Pictures
5,An Officer and a Gentleman,,"$108,402,267","1,050","$129,795,554",Jul 30,Paramount Pictures
6,Porky's,,"$105,492,483","1,605","$105,492,483",Mar 19,Twentieth Century Fox
7,Arthur,,"$91,089,162",701,"$95,461,682",Jul 17,Warner Bros.
8,Star Trek II: The Wrath of Khan,,"$78,912,963","1,621","$78,912,963",Jun 4,Paramount Pictures
9,Poltergeist,,"$73,555,425","1,060","$76,606,280",Jun 4,Metro-Goldwyn-Mayer (MGM)
10,The Best Little Whorehouse in Texas,,"$69,701,637","1,435","$69,701,637",Jul 23,Universal Pictures
11,Chariots of Fire,,"$58,866,893",810,"$58,972,904",Sep 25,Columbia Pictures
12,Annie,,"$49,411,223","1,102","$57,059,003",May 21,Columbia Pictures
13,First Blood,,"$47,212,904","1,054","$47,212,904",Oct 22,Orion Pictures
14,Firefox,,"$46,708,276","1,304","$46,708,276",Jun 18,Warner Bros.
15,Conan the Barbarian,,"$39,565,475","1,683","$39,565,475",May 14,Universal Pictures
16,The Sword and the Sorcerer,,"$39,103,425",660,"$39,103,425",Apr 23,-
17,Absence of Malice,,"$36,819,776",994,"$40,716,963",Nov 20,Columbia Pictures
18,Reds,,"$36,507,611",644,"$40,382,659",Dec 4,Paramount Pictures
19,Richard Pryor: Live on the Sunset Strip,,"$36,299,720","1,277","$36,299,720",Mar 12,Columbia Pictures
20,Friday the 13th: Part 3,,"$34,581,519","1,079","$34,581,519",Aug 13,Paramount Pictures
21,Time Bandits,,"$33,069,358",821,"$42,365,581",Nov 6,Embassy Pictures
22,Taps,,"$32,454,772",792,"$35,856,053",Dec 9,Twentieth Century Fox
23,Sharky's Machine,,"$31,292,899","1,388","$35,610,100",Dec 18,Warner Bros.
24,Tootsie,,"$30,940,676","1,222","$177,200,000",Dec 17,Columbia Pictures
25,Young Doctors in Love,,"$30,688,860",796,"$30,688,860",Jul 16,Twentieth Century Fox
26,Tron,,"$29,759,462","1,112","$33,000,000",Jul 9,Walt Disney Studios Motion Pictures
27,The World According to Garp,,"$29,712,172",560,"$29,712,172",Jul 23,Warner Bros.
28,Victor/Victoria,,"$28,215,453",615,"$28,215,453",Mar 19,Metro-Goldwyn-Mayer (MGM)
29,Blade Runner,,"$27,580,111","1,325","$27,580,111",Jun 25,Warner Bros.
30,Fast Times at Ridgemont High,,"$27,092,880",713,"$27,092,880",Aug 13,Universal Pictures
31,Cinderella,1981 Re-release,"$26,306,666","1,050","$28,040,000",Dec 18,Walt Disney Studios Motion Pictures
32,The Toy,,"$26,156,282","1,542","$47,118,057",Dec 10,Columbia Pictures
33,Some Kind of Hero,,"$23,671,186",975,"$23,671,186",Apr 2,Paramount Pictures
34,Bambi,1982 Re-release,"$23,000,000",750,"$23,000,000",Jun 4,Walt Disney Studios Motion Pictures
35,Pink Floyd: The Wall,,"$21,810,110",673,"$22,244,207",Aug 13,Metro-Goldwyn-Mayer (MGM)
36,Things Are Tough All Over,,"$21,134,374","1,516","$21,134,374",Aug 6,Columbia Pictures
37,48 Hrs.,,"$21,056,137","1,050","$78,868,508",Dec 10,Paramount Pictures
38,Creepshow,,"$21,028,755","1,132","$21,028,755",Nov 12,Warner Bros.
39,Neighbors,,"$20,657,085","1,387","$29,916,207",Dec 18,Columbia Pictures
40,Night Shift,,"$20,411,558",683,"$21,095,638",Jul 30,Warner Bros.
