rank,title,re_release,gross,num_theaters,total_gross,date,distributor
1,Guardians of the Galaxy,,"$332,934,626","4,088","$333,176,600",Aug 1 2014,Walt Disney Studios Motion Pictures
2,The Hunger Games: Mockingjay - Part 1,,"$313,282,914","4,151","$337,135,885",Nov 21 2014,Lionsgate Films
3,Captain America: The Winter Soldier,,"$259,766,572","3,938","$259,766,572",Apr 4 2014,Walt Disney Studios Motion Pictures
4,The Lego Movie,,"$257,760,692","3,890","$257,760,692",Feb 7 2014,Warner Bros.
5,Transformers: Age of Extinction,,"$245,439,076","4,233","$245,439,076",Jun 27 2014,Paramount Pictures
6,Maleficent,,"$241,410,378","3,948","$241,410,378",May 30 2014,Walt Disney Studios Motion Pictures
7,X-Men: Days of Future Past,,"$233,921,534","4,001","$233,921,534",May 23 2014,Twentieth Century Fox
8,Dawn of the Planet of the Apes,,"$208,545,589","3,969","$208,545,589",Jul 11 2014,Twentieth Century Fox
9,Big Hero 6,,"$204,576,654","3,773","$222,527,828",Nov 7 2014,Walt Disney Studios Motion Pictures
10,The Amazing Spider-Man 2,,"$202,853,933","4,324","$202,853,933",May 2 2014,Sony Pictures Releasing
11,Godzilla,,"$200,676,069","3,952","$200,676,069",May 16 2014,Warner Bros.
12,22 Jump Street,,"$191,719,337","3,426","$191,719,337",Jun 13 2014,Sony Pictures Releasing
13,Teenage Mutant Ninja Turtles,,"$191,204,754","3,980","$191,204,754",Aug 8 2014,Paramount Pictures
14,The Hobbit: The Battle of the Five Armies,,"$189,549,326","3,875","$255,119,788",Dec 17 2014,Warner Bros.
15,Interstellar,,"$179,387,895","3,561","$188,020,017",Nov 5 2014,Paramount Pictures
16,How to Train Your Dragon 2,,"$177,002,924","4,268","$177,002,924",Jun 13 2014,Twentieth Century Fox
17,Gone Girl,,"$166,197,583","3,284","$167,767,189",Oct 3 2014,Twentieth Century Fox
18,Divergent,,"$150,947,895","3,936","$150,947,895",Mar 21 2014,Lionsgate Films
19,Neighbors,,"$150,157,400","3,311","$150,157,400",May 9 2014,Universal Pictures
20,Frozen,,"$137,645,361","3,742","$400,738,009",Nov 22 2014,Walt Disney Studios Motion Pictures
21,Ride Along,,"$134,938,200","2,867","$134,938,200",Jan 17 2014,Universal Pictures
22,Rio 2,,"$131,538,435","3,975","$131,538,435",Apr 11 2014,Twentieth Century Fox
23,Lucy,,"$126,663,600","3,202","$126,663,600",Jul 25 2014,Universal Pictures
24,Lone Survivor,,"$124,907,273","3,285","$125,095,601",Dec 25 2014,Universal Pictures
25,The Fault in Our Stars,,"$124,872,350","3,340","$124,872,350",Jun 6 2014,Twentieth Century Fox
26,Mr. Peabody & Sherman,,"$111,506,430","3,951","$111,506,430",Mar 7 2014,Twentieth Century Fox
27,300: Rise of an Empire,,"$106,580,051","3,490","$106,580,051",Mar 7 2014,Warner Bros.
28,The Maze Runner,,"$102,104,191","3,638","$102,427,862",Sep 19 2014,Twentieth Century Fox
29,Noah,,"$101,200,044","3,571","$101,200,044",Mar 28 2014,Paramount Pictures
30,The Equalizer,,"$100,915,604","3,236","$101,530,738",Sep 26 2014,Sony Pictures Releasing
31,Edge of Tomorrow,,"$100,206,256","3,505","$100,206,256",Jun 6 2014,Warner Bros.
32,Non-Stop,,"$92,168,600","3,183","$92,168,600",Feb 28 2014,Universal Pictures
33,Heaven Is for Real,,"$91,443,253","3,048","$91,443,253",Apr 16 2014,TriStar Pictures
34,Fury,,"$85,244,339","3,313","$85,817,906",Oct 17 2014,Sony Pictures Releasing
35,Dumb and Dumber To,,"$84,966,865","3,188","$86,208,010",Nov 14 2014,Universal Pictures
36,Tammy,,"$84,525,432","3,465","$84,525,432",Jul 2 2014,Warner Bros.
37,Annabelle,,"$84,273,813","3,215","$84,273,813",Oct 3 2014,Warner Bros.
38,The Other Woman,,"$83,911,193","3,306","$83,911,193",Apr 25 2014,Twentieth Century Fox
39,American Hustle,,"$82,599,283","2,629","$150,117,807",Dec 13 2014,Sony Pictures Releasing
40,Let's Be Cops,,"$82,390,774","3,140","$82,390,774",Aug 13 2014,Twentieth Century Fox
41,The Monuments Men,,"$78,031,620","3,083","$78,031,620",Feb 7 2014,Sony Pictures Releasing
42,The Wolf of Wall Street,,"$75,451,759","2,557","$116,900,694",Dec 25 2014,Paramount Pictures
43,Penguins of Madagascar,,"$74,028,222","3,775","$83,850,911",Nov 26 2014,Twentieth Century Fox
44,Hercules,,"$72,688,614","3,595","$72,688,614",Jul 25 2014,Paramount Pictures
45,The Purge: Anarchy,,"$71,962,800","2,856","$71,962,800",Jul 18 2014,Universal Pictures
46,Night at the Museum: Secret of the Tomb,,"$69,354,582","3,914","$113,746,621",Dec 19 2014,Twentieth Century Fox
