rank,title,re_release,gross,num_theaters,total_gross,date,distributor
1,How the Grinch Stole Christmas,,"$251,628,905","3,256","$260,745,620",Nov 17 2000,Universal Pictures
2,Mission: Impossible II,,"$215,409,889","3,669","$215,409,889",May 24 2000,Paramount Pictures
3,Gladiator,,"$186,610,052","3,188","$187,705,427",May 5 2000,DreamWorks Distribution
4,The Perfect Storm,,"$182,618,434","3,407","$182,618,434",Jun 30 2000,Warner Bros.
5,Meet the Parents,,"$161,146,255","2,697","$166,244,045",Oct 6 2000,Universal Pictures
6,X-Men,,"$157,299,718","3,112","$157,299,718",Jul 14 2000,Twentieth Century Fox
7,Scary Movie,,"$157,019,771","3,301","$157,019,771",Jul 7 2000,Miramax
8,What Lies Beneath,,"$155,359,812","2,925","$155,464,351",Jul 21 2000,DreamWorks Distribution
9,Dinosaur,,"$137,748,063","3,319","$137,748,063",May 19 2000,Walt Disney Studios Motion Pictures
10,Erin Brockovich,,"$125,595,205","3,070","$125,595,205",Mar 17 2000,Universal Pictures
11,Nutty Professor II: The Klumps,,"$123,305,415","3,251","$123,309,890",Jul 28 2000,Universal Pictures
12,Charlie's Angels,,"$122,693,797","3,037","$125,305,545",Nov 3 2000,Sony Pictures Releasing
13,Big Momma's House,,"$117,559,438","2,854","$117,559,438",Jun 2 2000,Twentieth Century Fox
14,Remember the Titans,,"$113,546,621","2,803","$115,654,751",Sep 29 2000,Walt Disney Studios Motion Pictures
15,The Patriot,,"$113,330,342","3,061","$113,330,342",Jun 28 2000,Sony Pictures Releasing
16,What Women Want,,"$110,187,917","3,092","$182,811,707",Dec 15 2000,Paramount Pictures
17,Chicken Run,,"$106,834,564","2,953","$106,834,564",Jun 23 2000,DreamWorks Distribution
18,Gone in 60 Seconds,,"$101,648,571","3,089","$101,648,571",Jun 9 2000,Walt Disney Studios Motion Pictures
19,Cast Away,,"$100,628,725","3,061","$233,632,142",Dec 22 2000,Twentieth Century Fox
20,"Me, Myself & Irene",,"$90,570,999","3,087","$90,570,999",Jun 23 2000,Twentieth Century Fox
21,Space Cowboys,,"$90,107,204","2,835","$90,464,773",Aug 4 2000,Warner Bros.
22,Scream 3,,"$89,143,175","3,467","$89,143,175",Feb 4 2000,Dimension Films
23,Unbreakable,,"$88,304,876","2,708","$95,011,339",Nov 22 2000,Walt Disney Studios Motion Pictures
24,U-571,,"$77,122,415","2,820","$77,122,415",Apr 21 2000,Universal Pictures
25,Hollow Man,,"$73,209,340","2,956","$73,209,340",Aug 4 2000,Sony Pictures Releasing
26,Stuart Little,,"$72,701,240","3,151","$140,035,367",Dec 17 2000,Sony Pictures Releasing
27,Shaft,,"$70,334,258","2,433","$70,334,258",Jun 16 2000,Paramount Pictures
28,The Green Mile,,"$69,839,360","2,875","$136,801,374",Dec 10 2000,Warner Bros.
29,The Kid,,"$69,691,949","2,343","$69,691,949",Jul 7 2000,Walt Disney Studios Motion Pictures
30,Rugrats in Paris,,"$68,941,692","2,937","$76,507,756",Nov 17 2000,Paramount Pictures
31,Road Trip,,"$68,540,777","2,654","$68,540,777",May 19 2000,DreamWorks Distribution
32,Bring It On,,"$68,337,590","2,466","$68,379,000",Aug 25 2000,Universal Pictures
33,Rules of Engagement,,"$61,335,230","3,220","$61,335,230",Apr 7 2000,Paramount Pictures
34,The Cell,,"$61,334,059","2,476","$61,334,059",Aug 18 2000,New Line Cinema
